injection,obs_heat,std_heat,ignore_point,heat_stdev
2.35e-06,-4.355239e-05,0.01,True,0.1
1.5001e-06,-5.515164e-05,0.01,False,0.1
1.5001e-06,-5.524487e-05,0.01,False,0.1
1.5001e-06,-5.511563e-05,0.01,False,0.1
1.5001e-06,-5.26072e-05,0.01,False,0.1
1.5001e-06,-5.583644e-05,0.01,False,0.1
1.5001e-06,-5.491872e-05,0.01,False,0.1
1.5001e-06,-5.506646e-05,0.01,False,0.1
1.5001e-06,-5.540612e-05,0.01,False,0.1
1.5001e-06,-5.57207e-05,0.01,False,0.1
1.5001e-06,-5.519716e-05,0.01,False,0.1
1.5001e-06,-5.487701e-05,0.01,False,0.1
1.5001e-06,-5.482708e-05,0.01,False,0.1
1.5001e-06,-5.47709e-05,0.01,False,0.1
1.5001e-06,-5.471221e-05,0.01,False,0.1
1.5001e-06,-5.440994e-05,0.01,False,0.1
5.001e-07,-1.793324e-05,0.01,False,0.1
5.001e-07,-1.789662e-05,0.01,False,0.1
5.001e-07,-1.785996e-05,0.01,False,0.1
5.001e-07,-1.779867e-05,0.01,False,0.1
5.001e-07,-1.778522e-05,0.01,False,0.1
5.001e-07,-1.773078e-05,0.01,False,0.1
5.001e-07,-1.780013e-05,0.01,False,0.1
5.001e-07,-1.752538e-05,0.01,False,0.1
5.001e-07,-1.728763e-05,0.01,False,0.1
5.001e-07,-1.642499e-05,0.01,False,0.1
5.001e-07,-1.354416e-05,0.01,False,0.1
5.001e-07,-5.9964e-06,0.01,False,0.1
5.001e-07,-1.48915e-06,0.01,False,0.1
5.001e-07,-5.6002e-07,0.01,False,0.1
5.001e-07,-3.0253e-07,0.01,False,0.1
5.001e-07,-1.8791e-07,0.01,False,0.1
5.001e-07,-9.908e-08,0.01,False,0.1
5.001e-07,-9.056e-08,0.01,False,0.1
5.001e-07,-7.653e-08,0.01,False,0.1
5.001e-07,7.93e-09,0.01,False,0.1
5.001e-07,-3.339e-08,0.01,False,0.1
5.001e-07,-4.315e-08,0.01,False,0.1
5.001e-07,4.84e-08,0.01,False,0.1
5.001e-07,-4.435e-08,0.01,False,0.1
5.001e-07,-1.707e-08,0.01,False,0.1
5.001e-07,-5.095e-08,0.01,False,0.1
5.001e-07,-3.682e-08,0.01,False,0.1
